A16,A1,A2,A3,A8,A9,A10,A11,A12,A14,A15,A4_0,A4_1,A4_2,A5_0,A5_1,A5_2,A6_0,A6_1,A6_2,A7_0,A7_1,A7_2,A13_0,A13_1,A13_2
1,1,30.83,0.0,1.25,1,1,1,0,00202,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,58.67,4.46,3.04,1,1,6,0,00043,560,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,24.50,0.5,1.5,1,0,0,0,00280,824,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.83,1.54,3.75,1,1,5,1,00100,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,20.17,5.625,1.71,1,0,0,0,00120,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,32.08,4.0,2.5,1,0,0,1,00360,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,33.17,1.04,6.5,1,0,0,1,00164,31285,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,22.92,11.585,0.04,1,0,0,0,00080,1349,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,54.42,0.5,3.96,1,0,0,0,00180,314,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,42.50,4.915,3.165,1,0,0,1,00052,1442,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,22.08,0.83,2.165,0,0,0,1,00128,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,29.92,1.835,4.335,1,0,0,0,00260,200,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,38.25,6.0,1.0,1,0,0,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,48.08,6.04,0.04,0,0,0,0,00000,2690,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,45.83,10.5,5.0,1,1,7,1,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,36.67,4.415,0.25,1,1,10,1,00320,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,1,28.25,0.875,0.96,1,1,3,1,00396,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,23.25,5.875,3.17,1,1,10,0,00120,245,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,21.83,0.25,0.665,1,0,0,1,00000,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,19.17,8.585,0.75,1,1,7,0,00096,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,25.00,11.25,2.5,1,1,17,0,00200,1208,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,23.25,1.0,0.835,1,0,0,0,00300,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,47.75,8.0,7.875,1,1,6,1,00000,1260,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,27.42,14.5,3.085,1,1,1,0,00120,11,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,41.17,6.5,0.5,1,1,3,1,00145,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,15.83,0.585,1.5,1,1,2,0,00100,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,47.00,13.0,5.165,1,1,9,1,00000,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,56.58,18.5,15.0,1,1,17,1,00000,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
1,1,57.42,8.5,7.0,1,1,3,0,00000,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,42.08,1.04,5.0,1,1,6,1,00500,10000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,29.25,14.79,5.04,1,1,5,1,00168,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,42.00,9.79,7.96,1,1,8,0,00000,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,1,49.50,7.585,7.585,1,1,15,1,00000,5000,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,36.75,5.125,5.0,1,0,0,1,00000,4000,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,22.58,10.75,0.415,1,1,5,1,00000,560,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.83,1.5,2.0,1,1,11,1,00434,35,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
1,1,27.25,1.585,1.835,1,1,12,1,00583,713,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
